iter	MultiClass
0	0.5930468491
1	0.4610077508
2	0.3935569712
3	0.3507218229
4	0.3193925564
5	0.3034025839
6	0.2852463486
7	0.2755131784
8	0.2676977734
9	0.2631914935
10	0.260564924
11	0.2575087226
12	0.2558507698
13	0.2520435886
14	0.2508302132
15	0.2483872229
16	0.2472638414
17	0.2449051634
18	0.2440335248
19	0.2433267789
20	0.2419255542
21	0.2407660657
22	0.2400278703
23	0.2393577273
24	0.238753509
25	0.2378446605
26	0.2373402836
27	0.2365976439
28	0.2351539632
29	0.2337542199
30	0.2333342882
31	0.2328385896
32	0.2324830826
33	0.2321255503
34	0.2318423181
35	0.2315552423
36	0.2312660938
37	0.2307551076
38	0.2295313872
39	0.2287877266
40	0.228496353
41	0.2279416524
42	0.2273556258
43	0.2269899554
44	0.2266459818
45	0.2262182441
46	0.2256026695
47	0.2251752787
48	0.2248920111
49	0.2244882768
50	0.2241526508
51	0.2239039383
52	0.2236798536
53	0.2232556751
54	0.2230961481
55	0.2225226107
56	0.2219974931
57	0.221512955
58	0.2214002977
59	0.221222323
60	0.220680244
61	0.2204410595
62	0.220302177
63	0.219991784
64	0.2198460969
65	0.2195125518
66	0.2193227228
67	0.2190733193
68	0.2189861836
69	0.2188313977
70	0.2187049914
71	0.2185198877
72	0.2184016265
73	0.2180739892
74	0.2178439689
75	0.2176700436
76	0.2175271959
77	0.2174255574
78	0.2173430764
79	0.2171427227
80	0.2169789112
81	0.2168796608
82	0.2167782796
83	0.2165609453
84	0.2164267715
85	0.2162942626
86	0.2159327887
87	0.2158018907
88	0.2157274572
89	0.2156241778
90	0.2154842191
91	0.2153845235
92	0.2152184115
93	0.2150391501
94	0.2149331671
95	0.2148578914
96	0.2146369633
97	0.2143443342
98	0.2142043212
99	0.2139788753
