iter	Passed	Remaining
0	8	854
1	16	825
2	25	814
3	33	815
4	43	818
5	51	808
6	59	795
7	69	799
8	77	788
9	86	777
10	94	767
11	102	753
12	111	747
13	120	737
14	128	729
15	136	718
16	145	709
17	154	703
18	162	693
19	171	685
20	179	674
21	188	669
22	198	663
23	206	653
24	214	643
25	222	634
26	231	626
27	240	617
28	248	609
29	257	601
30	265	591
31	274	583
32	283	575
33	291	565
34	300	557
35	308	548
36	317	539
37	326	531
38	333	522
39	341	512
40	350	504
41	358	495
42	367	486
43	375	478
44	384	469
45	392	461
46	400	451
47	409	444
48	418	435
49	426	426
50	434	417
51	443	408
52	451	400
53	460	392
54	468	383
55	478	375
56	489	369
57	500	362
58	511	355
59	521	347
60	530	338
61	538	330
62	547	321
63	556	312
64	563	303
65	571	294
66	579	285
67	589	277
68	597	268
69	605	259
70	614	250
71	622	241
72	630	233
73	641	225
74	650	216
75	658	207
76	665	198
77	675	190
78	684	181
79	693	173
80	702	164
81	711	156
82	718	147
83	727	138
84	736	129
85	745	121
86	753	112
87	762	103
88	771	95
89	779	86
90	787	77
91	796	69
92	804	60
93	813	51
94	823	43
95	831	34
96	842	26
97	852	17
98	859	8
99	868	0
