iter	Passed	Remaining
0	0	407
1	0	356
2	1	350
3	1	340
4	1	340
5	2	337
6	2	339
7	2	366
8	3	380
9	3	393
10	4	372
11	4	371
12	5	381
13	5	399
14	6	425
15	6	418
16	7	412
17	7	405
18	7	398
19	7	387
20	8	382
21	8	377
22	8	373
23	9	369
24	9	366
25	9	373
26	10	369
27	10	367
28	10	363
29	11	360
30	11	359
31	11	356
32	12	354
33	12	352
34	12	350
35	13	348
36	13	346
37	13	340
38	13	338
39	14	336
40	14	335
41	14	335
42	14	333
43	15	332
44	15	330
45	15	330
46	16	326
47	16	325
48	16	325
49	17	325
50	17	325
51	17	325
52	18	327
53	18	328
54	19	329
55	19	329
56	20	331
57	20	338
58	21	347
59	22	349
60	22	350
61	23	349
62	23	348
63	23	348
64	24	347
65	24	347
66	24	347
67	25	346
68	25	345
69	25	345
70	26	345
71	26	344
72	27	345
73	27	344
74	27	344
75	28	343
76	28	342
77	28	339
78	29	338
79	29	339
80	29	338
81	30	337
82	30	335
83	30	334
84	31	335
85	31	334
86	31	334
87	32	334
88	33	342
89	34	345
90	34	347
91	35	348
92	35	348
93	36	353
94	37	357
95	38	359
96	38	359
97	38	356
98	39	355
99	39	355
100	39	354
101	40	354
102	40	354
103	41	353
104	41	352
105	41	352
106	42	350
107	42	350
108	42	350
109	43	349
110	43	349
111	43	348
112	44	348
113	44	347
114	44	345
115	45	344
116	46	349
117	46	348
118	47	349
119	48	352
120	48	351
121	49	352
122	49	355
123	51	362
124	51	360
125	51	359
126	51	357
127	52	355
128	52	354
129	52	353
130	53	352
131	53	351
132	53	349
133	53	348
134	54	347
135	54	346
136	54	346
137	55	344
138	55	343
139	55	341
140	55	340
141	56	339
142	56	338
143	56	337
144	57	336
145	57	335
146	57	334
147	57	333
148	58	332
149	58	331
150	58	330
151	59	329
152	59	328
153	59	327
154	59	326
155	60	326
156	60	326
157	61	325
158	61	324
159	61	323
160	62	323
161	62	324
162	63	324
163	63	324
164	64	325
165	64	325
166	65	327
167	66	327
168	66	327
169	66	326
170	67	325
171	67	324
172	67	323
173	68	322
174	68	322
175	68	321
176	68	320
177	69	320
178	69	319
179	69	318
180	70	317
181	70	317
182	70	316
183	71	316
184	71	316
185	72	315
186	72	315
187	72	314
188	72	313
189	73	311
190	73	310
191	73	310
192	74	309
193	74	309
194	74	308
195	75	308
196	75	307
197	75	307
198	77	312
199	78	313
200	78	313
201	79	315
202	80	315
203	80	315
204	81	315
205	81	315
206	82	314
207	82	313
208	82	312
209	83	312
210	83	311
211	83	310
212	83	310
213	84	309
214	84	308
215	84	308
216	85	307
217	85	306
218	85	306
219	86	305
220	86	305
221	86	304
222	87	303
223	87	302
224	87	302
225	88	301
226	88	301
227	88	300
228	88	299
229	89	299
230	89	298
231	90	298
232	90	298
233	90	297
234	91	297
235	92	298
236	92	297
237	92	297
238	93	297
239	94	298
240	94	298
241	95	297
242	95	297
243	95	297
244	96	296
245	96	296
246	96	295
247	97	294
248	97	294
249	97	293
250	98	293
251	98	292
252	98	291
253	99	291
254	99	291
255	99	290
256	100	290
257	100	290
258	101	289
259	101	289
260	101	288
261	102	287
262	102	287
263	103	287
264	103	286
265	103	286
266	104	285
267	104	285
268	104	284
269	104	283
270	105	283
271	106	284
272	106	284
273	107	284
274	107	283
275	108	283
276	108	284
277	109	284
278	110	284
279	110	283
280	110	283
281	111	282
282	111	282
283	111	281
284	112	280
285	112	280
286	112	279
287	112	278
288	113	278
289	113	277
290	113	276
291	114	276
292	114	275
293	114	275
294	114	274
295	115	274
296	115	273
297	116	273
298	116	273
299	117	273
300	117	272
301	117	272
302	117	271
303	118	270
304	118	270
305	118	269
306	119	269
307	119	268
308	119	268
309	120	269
310	121	269
311	122	269
312	122	269
313	124	271
314	125	271
315	125	271
316	126	271
317	126	271
318	126	270
319	127	270
320	127	269
321	127	269
322	128	268
323	128	268
324	128	267
325	130	269
326	130	269
327	131	268
328	131	268
329	132	268
330	132	267
331	132	266
332	132	266
333	133	265
334	133	265
335	133	264
336	134	263
337	134	263
338	134	263
339	135	263
340	135	262
341	136	261
342	136	261
343	137	261
344	137	261
345	138	261
346	138	261
347	139	262
348	140	262
349	141	262
350	141	262
351	142	261
352	142	260
353	142	260
354	143	259
355	143	259
356	143	258
357	143	258
358	144	257
359	144	257
360	144	256
361	146	258
362	146	257
363	147	257
364	147	256
365	147	256
366	148	255
367	148	255
368	148	254
369	149	253
370	149	253
371	149	252
372	150	252
373	150	251
374	150	251
375	151	250
376	151	250
377	152	250
378	153	251
379	153	250
380	154	250
381	155	250
382	155	250
383	156	250
384	156	250
385	156	249
386	157	249
387	157	248
388	158	248
389	158	247
390	158	247
391	158	246
392	159	245
393	159	245
394	161	247
395	161	246
396	162	246
397	162	245
398	162	245
399	163	244
400	163	244
401	163	243
402	164	243
403	165	243
404	166	244
405	166	244
406	167	244
407	168	244
408	169	244
409	169	244
410	169	243
411	170	243
412	170	242
413	171	242
414	171	241
415	171	241
416	172	240
417	172	240
418	172	239
419	173	239
420	173	238
421	173	238
422	174	237
423	174	237
424	174	236
425	174	235
426	175	235
427	175	234
428	175	234
429	176	233
430	176	232
431	176	232
432	177	231
433	177	231
434	177	230
435	178	230
436	178	229
437	178	229
438	179	228
439	179	228
440	179	227
441	180	227
442	180	227
443	181	227
444	181	226
445	182	226
446	183	226
447	184	226
448	184	226
449	185	226
450	185	225
451	185	225
452	186	224
453	186	224
454	187	224
455	187	223
456	187	222
457	187	222
458	188	222
459	188	221
460	189	221
461	189	220
462	189	220
463	190	219
464	190	219
465	191	219
466	191	218
467	191	218
468	192	217
469	192	216
470	192	216
471	193	216
472	193	215
473	193	214
474	194	214
475	194	214
476	195	213
477	195	213
478	195	212
479	196	212
480	196	211
481	196	211
482	196	210
483	197	210
484	197	209
485	197	208
486	197	208
487	197	207
488	198	207
489	198	206
490	199	206
491	199	205
492	199	205
493	200	205
494	200	204
495	201	204
496	201	203
497	202	203
498	204	205
499	205	205
500	205	204
501	206	204
502	206	203
503	206	203
504	206	202
505	207	202
506	207	201
507	207	201
508	208	200
509	208	200
510	209	200
511	209	199
512	210	200
513	211	199
514	212	199
515	214	200
516	214	200
517	215	200
518	215	199
519	216	199
520	216	199
521	216	198
522	217	198
523	217	197
524	218	197
525	219	197
526	219	196
527	219	196
528	220	196
529	220	195
530	220	195
531	221	194
532	221	194
533	222	193
534	222	193
535	222	192
536	223	192
537	223	191
538	224	191
539	224	191
540	225	191
541	226	191
542	227	191
543	228	191
544	229	191
545	229	190
546	229	190
547	230	189
548	230	189
549	230	188
550	230	188
551	231	187
552	231	187
553	232	186
554	232	186
555	232	185
556	233	185
557	233	184
558	233	184
559	233	183
560	234	183
561	234	182
562	235	182
563	235	182
564	235	181
565	236	181
566	236	180
567	236	180
568	237	179
569	237	179
570	237	178
571	238	178
572	238	178
573	239	177
574	239	177
575	239	176
576	240	176
577	240	175
578	241	175
579	242	175
580	242	175
581	243	174
582	244	175
583	245	174
584	245	174
585	246	173
586	246	173
587	246	172
588	247	172
589	247	171
590	247	171
591	248	171
592	248	170
593	248	170
594	250	170
595	251	170
596	251	169
597	252	169
598	253	169
599	253	169
600	255	169
601	258	170
602	258	170
603	259	169
604	259	169
605	259	169
606	260	168
607	260	167
608	260	167
609	261	166
610	261	166
611	262	166
612	262	165
613	263	165
614	263	164
615	263	164
616	264	163
617	264	163
618	264	163
619	265	162
620	265	162
621	265	161
622	266	161
623	266	160
624	266	160
625	267	159
626	267	159
627	267	158
628	268	158
629	268	157
630	268	157
631	269	156
632	270	156
633	272	157
634	273	157
635	274	156
636	274	156
637	275	156
638	275	155
639	275	155
640	276	154
641	276	154
642	276	153
643	277	153
644	277	152
645	277	152
646	278	151
647	278	151
648	279	151
649	279	150
650	280	150
651	280	149
652	280	149
653	281	148
654	281	148
655	281	147
656	281	147
657	282	146
658	282	146
659	285	147
660	287	147
661	288	147
662	289	147
663	290	146
664	291	146
665	292	146
666	292	145
667	292	145
668	294	145
669	294	145
670	294	144
671	295	144
672	297	144
673	297	143
674	297	143
675	298	142
676	299	142
677	302	143
678	303	143
679	304	143
680	304	142
681	305	142
682	305	141
683	305	141
684	307	141
685	307	140
686	309	140
687	309	140
688	310	139
689	310	139
690	312	139
691	312	139
692	312	138
693	313	138
694	315	138
695	316	138
696	319	138
697	320	138
698	321	138
699	322	138
700	322	137
701	323	137
702	325	137
703	326	137
704	327	137
705	328	136
706	330	136
707	331	136
708	333	136
709	335	136
710	336	136
711	336	136
712	336	135
713	338	135
714	339	135
715	340	135
716	342	135
717	343	134
718	345	134
719	347	135
720	349	135
721	349	134
722	350	134
723	351	133
724	351	133
